"";"VATASA";"VATASC";"VATAIA";"VATPIA";"VATPIC";"VATPSC";"VATAIC";"VATPSA"
"2016q5";3562234,58;1089843,73;3842705,8;10969870,6;5472764,7;5594220,45;1098308,89;10928520,6
"2016q6";3568969,36;1092272,05;3863999,44;11221580,3;5596293,99;5671958,56;1090590,49;11008941,4
"2016q7";3689896,03;1114982,5;3883527,6;11150752,4;5612448,3;5671296,67;1105725,39;11139075,6
"2016q8";3600760,43;1106890,31;3895910,65;11345840,4;5684384,86;5753275,76;1106924,79;11201086,6
"2016q9";3647177,05;1125637,74;3928203,28;11479132,5;5783131,56;5718663,07;1131884,01;11164697
"2016q10";3639928,18;1150159,88;3933747,64;11494547,1;5762758,38;5794410,73;1133386,02;11041643,2
"2016q11";3677637,23;1151489,98;3917859,66;11230021,4;5624226,16;5738876,76;1114831,6;11031377,3
"2016q12";3707162,27;1169375,97;3923819,7;11195217,6;5663505,6;5801450,71;1122320,2;11037556,1
"2017q1";3713483,2;1180105,51;3963410,02;11516095,9;5781790,17;5844360,41;1143145,3;11076474,5
"2017q2";3697701,31;1199072,61;3974011,85;11366733,7;5774262,23;5853572,33;1142725,04;11151338,5
"2017q3";3704560,75;1194792,42;3989312,9;11579331,5;5862202,45;5977423,57;1157393,8;11155347,5
"2017q4";3818064,32;1211530,41;4015269,37;11659757,9;5888444,98;6056970,03;1146232,75;11582321,1
"2017q5";3686999,78;1188065,62;4024801,71;11639891,1;5776434,98;5852358,99;1158120,98;11148700,2
"2017q6";3807931,05;1234523,54;4051220,4;11879683,7;5920134,03;6238833,07;1174656,57;11439338,6
"2017q7";3845298,26;1245214,54;4060689,7;11863267;5861581,38;6121764,73;1176922,87;11826633,2
"2017q8";3777834,53;1252783,59;4041712,97;11595218,8;5919859,48;6175424,65;1179894,44;11529022
"2017q9";3803743,63;1276149,95;4039057,54;11542454,7;5854174,26;6192737,5;1174485,1;11492160,1
"2017q10";3823097,98;1297188,91;4060456,36;11502057,4;5922553,85;6251273,56;1183509,46;11539020,3
"2017q11";3859209,74;1302174,45;4094792,73;11728476,7;5982726,32;6376172,7;1198979,48;11587639,9
"2017q12";3833956,36;1296731,76;4119854,92;11915276,9;5995375,59;6213606,91;1204129,41;11286603,6
"2018q1";3914941,61;1330698,66;4148807,27;11790396,5;6031182,16;6240226,94;1223588,4;11658229,3
"2018q2";3979439,95;1343968,81;4138000,42;11807230,9;5958827,79;6286250,65;1222065,5;11907732,6
"2018q3";3860521,68;1335117,36;4141753,37;11539150,9;5859295,66;6151802,27;1206564,26;11719833,9
"2018q4";3987512,54;1387727,99;4165725,48;11978104,5;6085347,24;6417267,85;1267755,38;11866454,2
"2018q5";3961997,11;1407435,36;4177726,94;11718635,5;5995992,89;7827751,61;1251133,38;11813361,2
"2018q6";3885226,29;1351049,56;4195597,46;11899214,9;6160010,42;6139807,98;1270796,87;11479042,2
"2018q7";3875240,2;1360670,54;4175479,71;11501693,3;5969125,67;6371687,81;1255466,1;11275289,8
"2018q8";3861281,34;1363083,99;4187012,25;11719501,7;6043732,09;6289534,9;1265359,97;11392747,9
"2018q9";3888685,94;1376252,42;4198535,47;11683042,4;6053567,45;6278224,12;1282518,23;11507454,2
"2018q10";3834985,84;1361594,24;4178894,43;11477003,5;5978788,67;6309946,08;1276030,4;11407713,5
"2018q11";3913996,36;1407020,48;4192244,74;11801850,7;6186951,39;6501365,26;1292606,74;11588578,8
"2018q12";3907655,91;1414444,68;4191942,67;11762709,7;6191137,23;6571153,62;1298247,81;11714896,1
"2019q1";3837088,46;1416202,71;4138289,66;11441623,5;6102423,37;6518373,5;1287027,38;11829341
"2019q2";3854534,73;1425315,03;4173619,1;11889304,4;6249743,72;6485501,57;1309064,84;11842377,6
"2019q3";3987465,03;1468534,14;4191137,96;11982916,6;6338108,93;6694049,86;1329436,63;11980564,4
"2019q4";3838540,73;1410639,35;4188239,63;11811361,7;6216478,32;6455285,83;1300529,9;11532977,6
"2019q5";3868365,09;1408702,2;4188054,23;11640597,3;6253233,24;6495771,32;1321311,8;11495326,7
"2019q6";4007603,18;1463545,72;4196094,08;11686418,6;6111034,26;6715633,51;1304110,66;11546139,3
"2019q7";3866008,02;1437299,55;4177087,85;11652020,6;6226496,48;6594895,57;1326261,54;10889929,9
"2019q8";3947672,37;1481432,81;4193574,21;11511841,3;6201319,26;6501716,32;1314587,96;11300002,5
"2019q9";3928009,44;1453684,98;4183577,54;11646399;6140562,93;6621411,21;1315533,44;11615463,4
"2019q10";4029567,42;1512442,63;4208847,82;11457262,9;6347130,93;6736172,56;1332045,87;11874598,1
"2019q11";4050793,4;1482449,8;4226253,86;11798413;6429711,22;6638480,36;1347866,74;11993622,6
"2019q12";4092922,95;1505519,7;4223093,1;11383608;6290944,15;6741287,58;1332685,73;12403702,7
"2020q1";4101020,6;1481710,12;4230234,63;11509498,3;6331325,61;6757713,15;1322316,97;12310527,4
"2020q2";3340791,87;1443034,94;3534336,92;10996855,2;6189009,91;6719552,26;1301865,39;11693721,5
"2020q3";254759,989;108371,806;550497,835;2386111,37;2674723,66;1047158,4;244809,223;1258503,17
"2020q4";9440,36637;6554,56362;71045,3658;635330,067;887349,955;167338,775;43369,4419;154953,201
"2020q5";16328,0253;4163,08061;304144,088;1359272,66;1283956,97;174172,476;172032,012;179048,72
"2020q6";256890,671;123283,441;1636549,79;3678554,51;3020074,8;549642,64;685588,672;723765,638
"2020q7";910649,29;447339,746;3066794,82;7966255,35;4999152,56;2137030,34;1290027,51;2713465,44
"2020q8";1444415,77;832368,008;4131602,01;10608784,1;6137326,5;3336633,39;1330533,68;4520955,01
"2020q9";1383903,92;811436,056;3320407,13;10268471,4;6229714,93;4142933,91;1318725,99;4779909,89
"2020q10";790850,221;467011,661;2345056;6886453,63;4318580,64;2353441,31;787337,955;2922478,1
"2020q11";204622,112;77841,057;941707,055;3748177,72;3151281,79;1194720,41;306427,604;1082139,29
"2020q12";190717,917;59040,3622;981935,222;2918609,54;2622730,35;881193,372;257665,689;771177,387
"2021q1";196613,92;68067,3216;1040027,08;2840063,4;2494271,85;776871,395;346490,22;634343,63
"2021q2";244059,434;84736,7081;1657654,46;4634123,96;3650758,33;726111,876;639203,701;744050,657
"2021q3";176942,648;50292,721;1145902,3;3791096,36;3122589,95;611720,09;367628,633;632219,263
"2021q4";122316,577;28556,5851;1114380,52;3332203,88;2036535,18;340688,634;240520,583;502318,704
"2021q5";447893,262;322815,707;2429785,04;6603680,3;4931704,78;1834626,31;1366223,46;1545363,42
"2021q6";1077675,74;526726,39;4118608,08;10041871,6;6332805,5;2720827,9;1373497,53;3500886,36
"2021q7";2043165,84;1000480,46;4139632,5;11632866,9;6736994,84;4867970,3;1420144,51;6017427,37
"2021q8";2504852,23;1444809,04;4157580,34;12074585,8;6638256,82;5743927,74;1392282,74;8229421,59
"2021q9";2146531,15;1130510,67;4111571,65;12482135,4;6755973,71;6149477,21;1396449,45;7771681,43
"2021q10";2421014,71;1202157,7;4082296,57;10893958,9;6511299,28;5156268,67;1368820,82;7640027,37
"2021q11";2071131,49;1053364,61;3502486,82;10535853,4;6284247,92;5559062,65;1340273,46;7422915,33
"2021q12";1961915,48;926561,408;4021445,1;10574179,7;6240318,13;4741505,31;1340848,72;7448622,32
