  *** Tramo Revision: 942  Build: 2017/09/25 09:39:13                                                           ***
"VATASA"
  DATE            Xorig                Xint                Xlin           RESIDUALS                Mean                  TD                  EE                  TO                  LS     Reg 1 (REFF = 6)
10-2013      3610164.00          3610164.00          3610164.00        -0.699786875E-01      100.000000          100.000000          100.000000          100.000000          100.000000          100.000000    
11-2013      1666306.00          1666306.00          1666306.00        -0.510108326E-01      100.000000          100.000000          100.000000          100.000000          100.000000          100.000000    
12-2013      1527377.00          1527377.00          1527377.00         0.487689257E-01      100.000000          100.000000          100.000000          100.000000          100.000000          100.000000    
 1-2014      1614757.00          1614757.00          1614757.00        -0.891384805E-02      100.000000          100.000000          100.000000          100.000000          100.000000          100.000000    
 2-2014      1894986.00          1894986.00          1894986.00        -0.200222899E-01      100.000000          100.000000          100.000000          100.000000          100.000000          100.000000    
 3-2014      2499455.00          2499455.00          2638331.11        -0.968620559E-02      100.000000          100.000000          94.7362139          100.000000          100.000000          100.000000    
 4-2014      3571355.00          3571355.00          3383366.51         0.209651537E-01      100.000000          100.000000          105.556256          100.000000          100.000000          100.000000    
 5-2014      4298672.00          4298672.00          4423383.51        -0.982031399E-02      100.000000          100.000000          100.000000          100.000000          100.000000          97.1806308    
 6-2014      4645646.00          4645646.00          4514668.09         0.777567866E-02      100.000000          100.000000          100.000000          100.000000          100.000000          102.901164    
 7-2014      5288116.00          5288116.00          5288116.00        -0.599758093E-02      100.000000          100.000000          100.000000          100.000000          100.000000          100.000000    
 8-2014      5068947.00          5068947.00          5068947.00         0.640640262E-01      100.000000          100.000000          100.000000          100.000000          100.000000          100.000000    
 9-2014      4927827.00          4927827.00          4927827.00        -0.360367753E-01      100.000000          100.000000          100.000000          100.000000          100.000000          100.000000    
10-2014      3696325.00          3696325.00          3696325.00        -0.195132649E-01      100.000000          100.000000          100.000000          100.000000          100.000000          100.000000    
11-2014      1702206.00          1702206.00          1702206.00        -0.178488234E-01      100.000000          100.000000          100.000000          100.000000          100.000000          100.000000    
12-2014      1561285.00          1561285.00          1561285.00         0.194381235E-01      100.000000          100.000000          100.000000          100.000000          100.000000          100.000000    
 1-2015      1709108.00          1709108.00          1709108.00         0.321620905E-01      100.000000          100.000000          100.000000          100.000000          100.000000          100.000000    
 2-2015      2033606.00          2033606.00          2033606.00         0.249072122E-01      100.000000          100.000000          100.000000          100.000000          100.000000          100.000000    
 3-2015      2563482.00          2563482.00          2705915.61        -0.319844287E-01      100.000000          100.000000          94.7362139          100.000000          100.000000          100.000000    
