  *** Seats Revision: 942  Build: 2017/09/25 09:48:03                                                            ***
 "vatasa"
  DATE               Series          TrendCycle       SAser (rec *)   Calendar Adjusted        Seasonal (*)           Irregular           Preadjust             E-Resid      Sep. REG Comp.     REG Comp. in SA    Stoch TrendCycle     Stoch. SASeries
 8-2009          3713580.00          2705764.48          2783748.67          3713580.00          133.402129          102.882150          100.000007         0.768414192E-01      100.000000          100.000000          2705764.48          2783748.67    
 9-2009          3909777.00          2724329.19          2712788.12          3909777.00          144.123936          99.5763703          100.000007        -0.225956449E-01      100.000000          100.000000          2724329.19          2712788.12    
10-2009          3107040.00          2745212.95          2751896.95          3107040.00          112.905390          100.243478          100.000007         0.189864377E-02      100.000000          100.000000          2745212.95          2751896.95    
11-2009          1470930.00          2766384.98          2723310.43          1470930.00          54.0125717          98.4429302          100.000007        -0.392226140E-01      100.000000          100.000000          2766384.98          2723310.43    
12-2009          1326070.00          2788027.10          2846712.26          1326070.00          46.5825092          102.104899          100.000007         0.435779933E-01      100.000000          100.000000          2788027.10          2846712.26    
 1-2010          1409398.00          2808788.07          2796437.56          1409398.00          50.3997665          99.5602905          100.000007         0.623596751E-02      100.000000          100.000000          2808788.07          2796437.56    
 2-2010          1725431.00          2827330.51          2860425.48          1725431.00          60.3207814          101.170538          100.000007         0.123596113E-01      100.000000          100.000000          2827330.51          2860425.48    
 3-2010          2294022.00          2844699.10          2885188.01          2421483.72          79.5103124          101.423311          94.7362205         0.401079448E-01      100.000000          100.000000          2844699.10          2885188.01    
 4-2010          2915631.00          2861763.01          2746638.88          2762158.41          106.152688          95.9771611          105.556263        -0.443400168E-01      100.000000          100.000000          2861763.01          2746638.90    
 5-2010          3847606.00          2879773.35          2948628.00          3921658.68          130.488010          102.391013          98.1117068         0.734083572E-01      100.000000          100.000000          2879773.35          2948629.11    
 6-2010          3723274.00          2900237.87          2850655.81          3652954.62          130.611138          98.2907210          101.925007         0.227045786E-01      100.000000          100.000000          2900237.87          2850664.72    
 7-2010          4532341.00          2923118.72          2948936.19          4532341.00          153.694102          100.883217          100.000007         0.655695644E-01      100.000000          100.000000          2923118.72          2948936.19    
 8-2010          3942123.00          2946663.22          2935928.60          3942123.00          134.271760          99.6357024          100.000007         0.106335487E-03      100.000000          100.000000          2946663.22          2935928.60    
 9-2010          4284165.00          2969518.67          2966783.82          4284165.00          144.404354          99.9079026          100.000007         0.842336091E-02      100.000000          100.000000          2969518.67          2966783.82    
10-2010          3368466.00          2990470.77          3002792.08          3368466.00          112.177797          100.412019          100.000007        -0.108138792E-02      100.000000          100.000000          2990470.77          3002792.08    
11-2010          1623676.00          3013676.30          3059858.25          1623676.00          53.0637654          101.532412          100.000007         0.250690932E-02      100.000000          100.000000          3013676.30          3059858.25    
12-2010          1354282.00          3036220.24          2995865.23          1354282.00          45.2050375          98.6708798          100.000007        -0.524803922E-01      100.000000          100.000000          3036220.24          2995865.23    
 1-2011          1506529.00          3060296.11          3062767.31          1506529.00          49.1884902          100.080751          100.000007         0.120269753E-01      100.000000          100.000000          3060296.11          3062767.31    
 2-2011          1751348.00          3086844.26          3024674.87          1751348.00          57.9020251          97.9859887          100.000007        -0.419972906E-01      100.000000          100.000000          3086844.26          3024674.87    
 3-2011          2395831.00          3115393.53          3094808.88          2528949.49          77.4145058          99.3392600          94.7362205         0.191488015E-01      100.000000          100.000000          3115393.53          3094808.88    
 4-2011          3450628.00          3141561.00          3256525.21          3268994.31          105.960426          103.659462          105.556263         0.110763961          100.000000          100.000000          3141561.00          3256525.23    
 5-2011          3894193.00          3165742.18          3075879.25          4007171.18          126.604222          97.1613639          97.1806067        -0.528897214E-01      100.000000          100.000000          3165742.18          3075878.28    
 6-2011          4390473.00          3182858.46          3289020.59          4266696.14          133.488766          103.335269          102.901007         0.100270391          100.000000          100.000000          3182858.46          3289015.35    
 7-2011          5042425.00          3192942.43          3246911.73          5042425.00          155.299109          101.690269          100.000007         0.238730657E-01      100.000000          100.000000          3192942.43          3246911.73    
 8-2011          4274268.00          3196912.00          3164345.71          4274268.00          135.075886          98.9813204          100.000007        -0.259598477E-01      100.000000          100.000000          3196912.00          3164345.71    
 9-2011          4681787.00          3194493.05          3232811.16          4681787.00          144.820924          101.199505          100.000007        -0.254098447E-02      100.000000          100.000000          3194493.05          3232811.16    
10-2011          3563285.00          3190068.79          3198898.92          3563285.00          111.390985          100.276800          100.000007        -0.358473013E-01      100.000000          100.000000          3190068.79          3198898.92    
11-2011          1638381.00          3189255.23          3147625.56          1638381.00          52.0513310          98.6946900          100.000007        -0.647573294E-01      100.000000          100.000000          3189255.23          3147625.56    
12-2011          1394486.00          3189425.20          3130046.47          1394486.00          44.5516069          98.1382624          100.000007        -0.336329748E-01      100.000000          100.000000          3189425.20          3130046.47    
 1-2012          1593280.00          3190172.28          3242408.46          1593280.00          49.1387812          101.637409          100.000007         0.239162093E-01      100.000000          100.000000          3190172.28          3242408.46    
 2-2012          1832597.00          3190618.29          3173834.95          1832597.00          57.7407782          99.4739785          100.000007        -0.160770358E-01      100.000000          100.000000          3190618.29          3173834.95    
 3-2012          2503146.00          3188348.83          3244561.76          2642227.18          77.1489706          101.763074          94.7362205         0.544771279E-02      100.000000          100.000000          3188348.83          3244561.77    
 4-2012          3353389.00          3181358.59          3158295.28          3176873.76          106.177184          99.2750490          105.556263        -0.319318523E-01      100.000000          100.000000          3181358.59          3158295.30    
 5-2012          4092234.00          3175218.92          3182079.71          4210957.74          128.602498          100.216041          97.1806067         0.202216029E-01      100.000000          100.000000          3175218.92          3182078.70    
 6-2012          4194908.00          3173508.07          3088894.99          4076644.54          135.806106          97.3336134          102.901007        -0.368348723E-01      100.000000          100.000000          3173508.07          3088890.07    
 7-2012          5011983.00          3178636.39          3170353.26          5011983.00          158.089102          99.7394124          100.000007         0.964627500E-02      100.000000          100.000000          3178636.39          3170353.26    
 8-2012          4388826.00          3191587.13          3148332.42          4388826.00          139.401607          98.6447274          100.000007         0.232710809E-01      100.000000          100.000000          3191587.13          3148332.42    
 9-2012          4665916.00          3209520.87          3189296.38          4665916.00          146.299229          99.3698596          100.000007        -0.135007922E-01      100.000000          100.000000          3209520.87          3189296.38    
10-2012          3647158.00          3227276.37          3268923.18          3647158.00          111.570624          101.290463          100.000007         0.678546556E-02      100.000000          100.000000          3227276.37          3268923.18    
11-2012          1708879.00          3246020.69          3299407.81          1708879.00          51.7935066          101.644694          100.000007         0.531490232E-02      100.000000          100.000000          3246020.69          3299407.81    
12-2012          1451468.00          3261861.01          3240417.48          1451468.00          44.7926234          99.3425984          100.000007         0.845845477E-03      100.000000          100.000000          3261861.01          3240417.48    
 1-2013          1562238.00          3275226.90          3234859.70          1562238.00          48.2938409          98.7674993          100.000007        -0.437492906E-01      100.000000          100.000000          3275226.90          3234859.70    
 2-2013          1889334.00          3289213.06          3306180.63          1889334.00          57.1455166          100.515855          100.000007         0.166803924E-01      100.000000          100.000000          3289213.06          3306180.63    
 3-2013          2724405.00          3306735.42          3264733.54          2580998.14          83.4495364          98.7298087          105.556263        -0.399884398E-01      100.000000          100.000000          3306735.42          3264733.55    
 4-2013          3101563.00          3322770.23          3310646.67          3273893.76          93.6845068          99.6351370          94.7362205         0.197003841E-01      100.000000          100.000000          3322770.23          3310646.67    
 5-2013          4509595.00          3337766.12          3359270.88          4424424.82          134.243268          100.644600          101.925007         0.434993708E-01      100.000000          100.000000          3337766.12          3359281.38    
 6-2013          4431796.00          3349787.20          3412646.03          4517092.25          129.863923          101.876541          98.1117068         0.582733737E-01      100.000000          100.000000          3349787.20          3412647.32    
 7-2013          5257440.00          3356811.28          3350585.32          5257440.00          156.911092          99.8145276          100.000007        -0.134668426E-01      100.000000          100.000000          3356811.28          3350585.32    
 8-2013          4796813.00          3357547.32          3375268.62          4796813.00          142.116481          100.527805          100.000007         0.408857365E-01      100.000000          100.000000          3357547.32          3375268.62    
 9-2013          4912153.00          3354930.79          3383781.26          4912153.00          145.167569          100.859942          100.000007        -0.255924232E-01      100.000000          100.000000          3354930.79          3383781.26    
10-2013          3610164.00          3352442.79          3310485.73          3610164.00          109.052396          98.7484629          100.000007        -0.697897406E-01      100.000000          100.000000          3352442.79          3310485.73    
11-2013          1666306.00          3352947.56          3303467.16          1666306.00          50.4411251          98.5242715          100.000007        -0.508219147E-01      100.000000          100.000000          3352947.56          3303467.16    
12-2013          1527377.00          3354078.02          3406309.43          1527377.00          44.8396434          101.557251          100.000007         0.489578357E-01      100.000000          100.000000          3354078.02          3406309.43    
 1-2014          1614757.00          3358246.12          3351311.58          1614757.00          48.1828370          99.7935072          100.000007        -0.872490032E-02      100.000000          100.000000          3358246.12          3351311.58    
 2-2014          1894986.00          3363622.00          3319752.58          1894986.00          57.0821455          98.6957686          100.000007        -0.198333477E-01      100.000000          100.000000          3363622.00          3319752.58    
